"minute","result","X","Y","xG","player","h_a","situation","shotType","home_team","away_team","home_goals","away_goals","date","player_assisted","lastAction","Outcome","zone"
33,"Goal",97.0200016021729,34.8160005187989,0.0514913648366928,"Harry Maguire","a","FromCorner","Head","Leeds","Manchester United",2,4,"2022-02-20 14:00:00","Luke Shaw","Aerial","Goal","zone2"
37,"BlockedShot",96.4950016021728,21.6239994812011,0.0751995369791985,"Cristiano Ronaldo","a","OpenPlay","LeftFoot","Leeds","Manchester United",2,4,"2022-02-20 14:00:00","Luke Shaw","Pass","NoGoal","zone2"
38,"MissedShots",95.9700016021728,45.3559979248047,0.0677252486348152,"Jadon Sancho","a","OpenPlay","LeftFoot","Leeds","Manchester United",2,4,"2022-02-20 14:00:00",NA,"Rebound","NoGoal","zone2"
46,"SavedShot",93.0299983978272,24.0039994812011,0.0886279195547104,"Jadon Sancho","a","OpenPlay","RightFoot","Leeds","Manchester United",2,4,"2022-02-20 14:00:00","Jesse Lingard","Pass","NoGoal","zone2"
49,"Goal",98.4900032043457,36.72,0.40186083316803,"Bruno Fernandes","a","OpenPlay","Head","Leeds","Manchester United",2,4,"2022-02-20 14:00:00","Jadon Sancho","Chipped","Goal","zone1"
64,"BlockedShot",95.4450016021729,39.3720010375976,0.126864463090897,"Jadon Sancho","a","OpenPlay","LeftFoot","Leeds","Manchester United",2,4,"2022-02-20 14:00:00","Cristiano Ronaldo","Pass","NoGoal","zone2"
69,"Goal",95.9700016021728,45.8320010375977,0.074450321495533,"Fred","a","OpenPlay","LeftFoot","Leeds","Manchester United",2,4,"2022-02-20 14:00:00","Jadon Sancho","Pass","Goal","zone2"
71,"SavedShot",92.4,27.2679989624023,0.338049829006195,"Anthony Elanga","a","OpenPlay","LeftFoot","Leeds","Manchester United",2,4,"2022-02-20 14:00:00","Jadon Sancho","Pass","NoGoal","zone2"
87,"BlockedShot",89.25,31.28,0.106281124055386,"Aaron Wan-Bissaka","a","OpenPlay","RightFoot","Leeds","Manchester United",2,4,"2022-02-20 14:00:00","Bruno Fernandes","Pass","NoGoal","zone2"
87,"Goal",92.0849967956543,40.5279989624023,0.365706235170364,"Anthony Elanga","a","OpenPlay","RightFoot","Leeds","Manchester United",2,4,"2022-02-20 14:00:00","Bruno Fernandes","Pass","Goal","zone2"
8,"Goal",83.3700016021728,30.26,0.0314162634313107,"R̼ben Neves","h","OpenPlay","RightFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00","Ra̼l Jim̩nez","Pass","Goal","zone3"
17,"BlockedShot",89.1450016021728,20.8760005187989,0.0492918379604816,"Daniel Podence","h","OpenPlay","RightFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00","N̩lson Semedo","Chipped","NoGoal","zone3"
18,"SavedShot",95.3400032043457,37.5360005187988,0.0607629753649235,"Max Kilman","h","FromCorner","Head","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00","Jọo Moutinho","Cross","NoGoal","zone2"
22,"BlockedShot",95.025,30.8720010375977,0.0246416702866554,"Leander Dendoncker","h","FromCorner","Head","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00","Rayan Ait Nouri","Aerial","NoGoal","zone2"
23,"MissedShots",91.0349967956543,34.8160005187989,0.0627130344510078,"Rayan Ait Nouri","h","FromCorner","LeftFoot","Wolverhampton Wanderers","Leicester",2,1,"2022-02-20 16:30:00","Daniel Podence","Pass","NoGoal","zone2"
