"player","xg_Aerial","xg_Cross","xg_None","xg_Pass","xg_Dribble","xg_LooseBall","xg_Chipped","xg_Throughball","xg_LayOff","n_shots_Aerial","n_shots_Cross","n_shots_None","n_shots_Pass","n_shots_Dribble","n_shots_LooseBall","n_shots_Chipped","n_shots_Throughball","n_shots_LayOff","xg_foot","xg_headother","n_shots_foot","n_shots_headother","xa_Aerial","xa_Chipped","xa_Cross","xa_LooseBall","xa_Pass","xa_Dribble","xa_Throughball","xa_LayOff","xa_None","n_assists_Aerial","n_assists_Chipped","n_assists_Cross","n_assists_LooseBall","n_assists_Pass","n_assists_Dribble","n_assists_Throughball","n_assists_LayOff","n_assists_None","xa_foot","xa_headother","n_assists_foot","n_assists_headother","totxg","totxa"
"Lucas Vázquez",0.016,0.658,0.036,1.96,0,0.031,0.398,0.607,0.088,1,3,1,16,0,1,2,2,2,3.6,0.194,25,3,0.592,0.277,0.59,0,4.19,0.136,0,0.014,0,3,5,8,0,27,2,0,1,0,4.912,0.888,38,8,7.588,11.6
"Luciano Narsingh",0,0,0,0.582,0,0.023,0,0,0,0,0,0,7,0,1,0,0,0,0.605,0,8,0,0.025,0,0.05,0,0.582,0.228,0,0,0,1,0,1,0,5,1,0,0,0,0.86,0.025,7,1,1.209,1.769
"Luciano Vietto",0.067,0,0,0.602,0.076,0.784,0,0,0.061,1,0,0,6,1,3,0,0,1,1.523,0.067,11,1,0,0,0.359,0,0.893,0.133,0.126,0,0,0,0,1,0,10,2,1,0,0,1.51,0,14,0,3.179,3.021
"Ludovic Baal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401,0,0.06,0.382,0,0,0,0,0,1,0,2,4,0,0,0,0.443,0.401,6,1,0,1.688
"Ludovic Blas",0.064,0.539,0.597,1.621,0.142,0.052,0,0,0.014,1,1,3,20,5,3,0,0,1,2.965,0.064,33,1,0,0.21,0,0,0.747,0.022,0,0,0.047,0,4,0,0,9,1,0,0,1,1.009,0.018,14,1,6.06,2.054
"Ludwig Augustinsson",0,0,0.112,0.543,0,0.074,0,0,0,0,0,3,11,0,2,0,0,0,0.729,0,16,0,0,0,0.988,0,0.959,0.037,0,0,0,0,0,10,0,11,1,0,0,0,1.205,0.779,15,7,1.458,3.967
"Luis Alberto",0.026,0.335,0.72,2.052,1.348,0.183,0.103,0.345,0.066,1,2,8,40,6,3,3,1,2,4.88,0.298,65,1,0,1.039,0.153,0.063,3.131,0.797,1.525,0,0,0,5,2,1,33,3,4,0,0,6.218,0.489,44,4,10.356,13.415
"Luis Hernández",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0,0,0,0.087,0,0,0,0,2,0,0,0,2,0,0,0,0,0.087,0.031,2,2,0,0.236
"Luis Muriel",0.117,0.617,0.509,3.088,1.331,0.213,0.401,0.79,0,1,3,1,29,6,3,3,4,0,6.514,0.553,48,2,0,0.077,0.049,0,1.617,0.255,0,0.048,0,0,1,1,0,14,1,0,1,0,1.967,0.08,17,1,14.134,4.093
"Luis Suárez",0.44,2.597,2.03,9.952,2.223,1.273,1.076,2.721,0,3,9,7,47,10,6,8,7,0,21.578,0.732,94,3,0.123,2.268,0,0,6.407,0.594,1.542,0.061,0,2,8,0,0,35,4,4,1,0,10.54,0.455,50,4,44.621,21.99
"Luisinho",0,0,0.016,0.272,0.019,0,0,0,0,0,0,2,9,1,0,0,0,0,0.307,0,12,0,0.134,0,1.524,0,0.436,0,0,0,0,3,0,9,0,4,0,0,0,0,0.884,1.21,5,11,0.615,4.19
"Luiz Araujo",0,0.519,0.519,1.82,0.151,0.419,0.536,0.71,0,0,1,4,25,4,2,3,2,0,4.674,0,41,0,0,0.007,0.218,0,0.557,0.438,0.319,0,0,0,1,3,0,12,2,1,0,0,1.46,0.079,18,1,9.349,3.078
"Luiz Felipe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,0,0,0,0,0,0,0,1,0,0,0,0,0.058,0,1,0,0,0.116
"Luiz Gustavo",0.059,0,0.29,0.923,0.067,0.729,0.029,0.104,0,1,0,11,24,2,7,1,1,0,2.143,0.059,46,1,0,0.043,0.172,0,0.306,0.082,0,0,0,0,1,2,0,7,2,0,0,0,0.431,0.172,10,2,4.404,1.205
"Luka Jovic",0.032,1.711,0.514,2.369,0.475,0.129,0.091,0,0.127,1,10,4,9,2,2,1,0,1,5.104,0.345,25,5,0.085,0,0,0.088,1.061,0,0,0,0,2,0,0,2,3,0,0,0,0,1.233,0,7,0,10.897,2.467
"Luka Milivojevic",0.031,0,0.043,0.117,0,0.01,0,0,0,2,0,2,6,0,1,0,0,0,0.202,0,11,0,0.01,0.401,0.116,0.13,0.167,0.075,0,0,0,1,3,1,2,8,1,0,0,0,0.48,0.42,14,2,0.404,1.8
"Luka Modric",0.055,0.419,0.057,0.968,0.319,0.11,0.061,0,0,1,3,2,19,5,1,1,0,0,1.894,0.096,30,2,0,0.364,0.07,0,1.246,0.078,2.127,0,0.081,0,3,1,0,19,2,7,0,1,3.966,0,33,0,3.978,7.932
"Lukas Klostermann",0.403,0.071,0,0.304,0,0.122,0,0,0,1,1,0,6,0,1,0,0,0,0.9,0,9,0,0,0,0.052,0.043,0.803,0.57,0,0,0,0,0,1,1,8,3,0,0,0,1.416,0.052,12,1,1.799,2.936
"Lukas Klünter",0.262,0,0.061,0.08,0.265,0.155,0.011,0.888,0,2,0,2,2,2,1,1,3,0,1.695,0.027,12,1,0.028,0.309,0.415,0,0.183,0,0,0,0,1,1,6,0,4,0,0,0,0,0.859,0.076,10,2,3.443,1.871
"Lukas Kübler",0,0.084,0,0.029,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0.114,0,3,0,0,0,0,0,0.085,0,0,0,0,0,0,0,0,3,0,0,0,0,0.085,0,3,0,0.227,0.17
"Lukas Lerager",0.206,1.533,0.079,1.349,0.023,0.074,0.011,0,0,4,7,1,15,1,3,1,0,0,2.182,1.092,23,9,0.01,0.133,0.616,0.703,0.978,0,0,0,0,1,3,1,4,15,0,0,0,0,1.158,1.283,19,5,6.549,4.881
"Lukas Rupp",0,0.574,0.12,0.778,0.103,0,0.507,0,0,0,2,1,7,1,0,3,0,0,2.037,0.045,13,1,0.03,0.676,0.682,0.104,0.56,0,0,0,0,1,4,2,1,8,0,0,0,0,1.718,0.333,15,1,4.164,4.103
"Lukasz Piszczek",0,0.103,0.108,0.252,0,0.081,0.028,0,0,0,1,2,6,0,1,1,0,0,0.44,0.13,9,2,0.545,0.315,0.888,0.023,0.821,0.055,0,0,0,3,1,5,1,4,1,0,0,0,2.112,0.536,12,3,1.142,5.296
"Luke Shaw",0,0,0.042,0.06,0.062,0.061,0,0,0,0,0,1,3,1,1,0,0,0,0.224,0,6,0,0,0,0,0,0.163,0.169,0,0,0,0,0,0,0,6,2,0,0,0,0.332,0,8,0,0.449,0.664
"Lyanco",0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,1,0,0,0,0.009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0
"Lys Mousset",0.053,0,0.029,0.27,0.135,0.047,0,0,0,1,0,1,8,3,2,0,0,0,0.482,0.053,14,1,0,0,0,0,0.626,0,0,0,0,0,0,0,0,2,0,0,0,0,0.626,0,2,0,1.069,1.253
"M&#039;Baye Niang",0.12,0.63,0.126,1.303,0.477,0.081,0.315,1.044,0.148,2,4,3,20,3,2,2,3,2,4.184,0.059,39,2,0.079,0.039,0,0,0.349,0.126,0,0.085,0,1,2,0,0,10,2,0,2,0,0.657,0.02,16,1,8.486,1.355
"Mahmoud Dahoud",0,0,0.178,1.335,0,0.198,0.149,0,0,0,0,3,14,0,4,2,0,0,1.86,0,23,0,0,0.133,0,0.592,2.054,1.867,0,0,0,0,3,0,1,13,6,0,0,0,4.646,0,23,0,3.72,9.292
